City,CurrTemp,WindSpeed,Humidity
Tonghae,20.3°C / 68.6°F,5 mph,71%
Ulsan,21.7°C / 71°F,4 mph,96%
Ambalangoda,28.5°C / 83.3°F,9 mph,88%
Bentota,28.4°C / 83.2°F,9 mph,87%
Beruwala,28.4°C / 83.2°F,8 mph,82%
Chilaw,28.3°C / 83°F,13 mph,85%
Colombo,28.4°C / 83.1°F,8 mph,85%
Galkissa,28.4°C / 83.1°F,6 mph,90%
Galle,28.4°C / 83.2°F,13 mph,85%
Hikkaduwa,28.4°C / 83.2°F,11 mph,86%
Jaffna,29.3°C / 84.7°F,13 mph,85%
Kalmunai,29.8°C / 85.6°F,6 mph,81%
Kalutara,28.4°C / 83.2°F,4 mph,90%
Matara,28.3°C / 83°F,12 mph,86%
Moratuwa,28.4°C / 83.1°F,6 mph,90%
Negombo,28.3°C / 83°F,11 mph,85%
Panadura,28.4°C / 83.2°F,7 mph,89%
Peliyagoda,28.4°C / 83.1°F,6 mph,87%
Tangalla,28.4°C / 83.2°F,12 mph,83%
Trincomalee,29.6°C / 85.3°F,14 mph,78%
Wattala,28.4°C / 83.1°F,6 mph,87%
Hsinchu,28.6°C / 83.4°F,5 mph,58%
Hualian,29.4°C / 84.9°F,4 mph,57%
Jincheng,27.9°C / 82.3°F,18 mph,99%
Kaohsiung,30.4°C / 86.8°F,7 mph,71%
Keelung,28°C / 82.4°F,6 mph,77%
Ma-kung,28.9°C / 84.1°F,17 mph,87%
Nangan,26.1°C / 78.9°F,23 mph,91%
Tainan,30.3°C / 86.6°F,5 mph,74%
Taitung,30°C / 86°F,6 mph,70%
Ban,30.2°C / 86.4°F,9 mph,99%
Ban,30°C / 86°F,9 mph,85%
Ban,30.6°C / 87°F,4 mph,86%
Ban,30.1°C / 86.2°F,8 mph,85%
Bang,30.4°C / 86.7°F,7 mph,38%
Chon,30.4°C / 86.7°F,5 mph,100%
Don,30.7°C / 87.3°F,9 mph,76%
Kantang,30.1°C / 86.1°F,3 mph,99%
Ko,30.4°C / 86.7°F,14 mph,77%
Ko,30.2°C / 86.4°F,14 mph,81%
Ko,30.8°C / 87.5°F,12 mph,79%
Ko,30.4°C / 86.8°F,7 mph,68%
Ko,30.3°C / 86.5°F,6 mph,82%
Koh,30.6°C / 87°F,9 mph,78%
Laem,30.7°C / 87.3°F,10 mph,100%
Laem,30.2°C / 86.3°F,9 mph,100%
Nai,30°C / 86°F,9 mph,85%
Patong,29.9°C / 85.9°F,6 mph,86%
Pattani,30.6°C / 87.1°F,4 mph,87%
Phatthaya,30.4°C / 86.7°F,10 mph,81%
Phra,30.4°C / 86.7°F,6 mph,73%
Rayong,30.3°C / 86.5°F,10 mph,94%
Saladan,30.1°C / 86.2°F,9 mph,76%
Samut,30.4°C / 86.8°F,8 mph,68%
Sattahip,30.4°C / 86.7°F,6 mph,83%
Si,30.4°C / 86.8°F,9 mph,75%
Songkhla,30.6°C / 87°F,5 mph,99%
Tak,30.8°C / 87.5°F,4 mph,86%
Yaring,30.7°C / 87.3°F,4 mph,86%
Cẩm,30.2°C / 86.3°F,8 mph,85%
Cam,30.1°C / 86.1°F,1 mph,88%
Cần,30.6°C / 87.1°F,9 mph,88%
Cần,30.8°C / 87.4°F,7 mph,94%
Côn,30.7°C / 87.2°F,12 mph,80%
Hạ,29.9°C / 85.9°F,4 mph,89%
Hà,30.4°C / 86.7°F,13 mph,75%
Haiphong,29.9°C / 85.9°F,7 mph,94%
Huế,29.2°C / 84.6°F,7 mph,58%
Lagi,30.1°C / 86.1°F,10 mph,75%
Nha,30.1°C / 86.2°F,4 mph,88%
Phan,29.8°C / 85.7°F,11 mph,69%
Quy,29.4°C / 84.9°F,6 mph,63%
Rạch,30.6°C / 87°F,13 mph,76%
Sông,29.3°C / 84.8°F,6 mph,86%
Turan,29.2°C / 84.6°F,0 mph,55%
Uông,29.9°C / 85.8°F,5 mph,86%
Vũng,30.6°C / 87.1°F,12 mph,82%
Aūa,28.7°C / 83.6°F,15 mph,83%
Fagatogo,28.7°C / 83.6°F,15 mph,83%
Faleniu,28.6°C / 83.5°F,15 mph,83%
Malaeimi,28.6°C / 83.5°F,15 mph,83%
Mapusagafou,28.6°C / 83.5°F,21 mph,72%
Ofu,28.8°C / 83.8°F,21 mph,74%
Pago,28.7°C / 83.6°F,15 mph,83%
Tāfuna,28.6°C / 83.5°F,15 mph,83%
Taulaga,28.8°C / 83.9°F,19 mph,75%
Burnie,13.4°C / 56.2°F,8 mph,55%
Cairns,24°C / 75.2°F,7 mph,77%
Caloundra,20.7°C / 69.3°F,6 mph,78%
Caringbah,20.7°C / 69.2°F,24 mph,48%
Cronulla,20.7°C / 69.2°F,19 mph,60%
Darwin,26.4°C / 79.5°F,11 mph,49%
Deception,20.8°C / 69.5°F,4 mph,81%
Dee,20.6°C / 69°F,24 mph,44%
Devonport,13.6°C / 56.4°F,13 mph,74%
Forster,21.3°C / 70.3°F,7 mph,1%
Geelong,13.5°C / 56.3°F,14 mph,91%
Geelong,13.5°C / 56.3°F,14 mph,91%
Gladstone,20.5°C / 68.9°F,3 mph,82%
Gold,21.7°C / 71.1°F,9 mph,77%
Hobart,12.6°C / 54.6°F,16 mph,86%
Mandurah,20.1°C / 68.1°F,10 mph,81%
Melbourne,12.4°C / 54.4°F,15 mph,80%
Mooloolaba,20.8°C / 69.5°F,4 mph,81%
Mornington,12.6°C / 54.7°F,15 mph,86%
Mosman,20.7°C / 69.2°F,21 mph,51%
Newcastle,20.3°C / 68.6°F,1 mph,70%
North,21.9°C / 71.4°F,7 mph,79%
Perth,20.4°C / 68.8°F,10 mph,95%
Port,21.9°C / 71.4°F,6 mph,80%
Port,12.4°C / 54.4°F,8 mph,80%
Port,20.5°C / 68.9°F,16 mph,56%
Rainbow,21.4°C / 70.6°F,5 mph,56%
Saint,12.4°C / 54.3°F,7 mph,85%
Surfers,21.7°C / 71.1°F,3 mph,81%
Sydney,20.7°C / 69.3°F,10 mph,55%
Townsville,22.9°C / 73.2°F,1 mph,94%
Wollongong,20.6°C / 69°F,11 mph,58%
Flying,28.5°C / 83.3°F,13 mph,78%
n/a,n/a,n/a,n/a
Avarua,26.1°C / 79°F,6 mph,83%
Afareaitu,27.4°C / 81.3°F,13 mph,65%
Anau,27.6°C / 81.7°F,17 mph,68%
Arue,27.4°C / 81.4°F,3 mph,65%
Atuona,27.1°C / 80.8°F,20 mph,78%
Faaa,27.4°C / 81.4°F,5 mph,54%
Faanui,27.6°C / 81.7°F,17 mph,69%
Fitii,27.4°C / 81.4°F,15 mph,69%
Hitiaa,27.4°C / 81.3°F,13 mph,72%
Mahina,27.4°C / 81.4°F,5 mph,54%
Moerai,25.3°C / 77.5°F,20 mph,62%
Otutara,27.3°C / 81.2°F,11 mph,70%
Paopao,27.4°C / 81.4°F,14 mph,66%
Papeete,27.4°C / 81.4°F,5 mph,69%
Papetoai,27.4°C / 81.4°F,14 mph,65%
Pirae,27.4°C / 81.4°F,3 mph,65%
Pueu,27.3°C / 81.2°F,13 mph,73%
Punaauia,27.4°C / 81.3°F,5 mph,54%
Rikitea,25.2°C / 77.4°F,13 mph,79%
Taunoa,27.3°C / 81.2°F,11 mph,70%
Tautira,27.3°C / 81.2°F,13 mph,73%
Teahupoo,27.3°C / 81.1°F,12 mph,71%
Tohautu,27.3°C / 81.2°F,12 mph,71%
Uturoa,27.5°C / 81.5°F,16 mph,70%
Vairao,27.3°C / 81.2°F,12 mph,71%
Vaitape,27.6°C / 81.7°F,17 mph,68%
Agat,29.3°C / 84.8°F,13 mph,75%
Asan-Maina,29.3°C / 84.8°F,13 mph,75%
Guam,29.3°C / 84.8°F,13 mph,75%
Hagåtña,29.3°C / 84.8°F,13 mph,75%
Hagåtña,29.3°C / 84.7°F,13 mph,75%
Inarajan,29.3°C / 84.8°F,15 mph,76%
Merizo,29.3°C / 84.8°F,15 mph,76%
Piti,29.3°C / 84.8°F,13 mph,75%
Tamuning-Tumon-Harmon,29.3°C / 84.7°F,13 mph,75%
Yona,29.3°C / 84.8°F,13 mph,75%
Ambo,28.5°C / 83.3°F,10 mph,79%
Bairiki,28.5°C / 83.3°F,10 mph,79%
Banraeaba,28.5°C / 83.3°F,10 mph,79%
Betio,28.5°C / 83.3°F,14 mph,74%
Bikenibeu,28.5°C / 83.3°F,10 mph,79%
Bonriki,28.5°C / 83.3°F,10 mph,79%
Buota,28.5°C / 83.3°F,10 mph,79%
Butaritari,29.5°C / 85.1°F,11 mph,74%
Eita,28.5°C / 83.3°F,10 mph,79%
London,27.8°C / 82°F,9 mph,74%
Napari,28.4°C / 83.1°F,10 mph,80%
Nawerewere,28.5°C / 83.3°F,10 mph,79%
Rawannawi,28.8°C / 83.8°F,14 mph,73%
Tabwakea,27.8°C / 82°F,9 mph,74%
Tarawa,28.5°C / 83.3°F,8 mph,79%
Teaoraereke,28.5°C / 83.3°F,10 mph,79%
Temaiku,28.5°C / 83.3°F,10 mph,79%
Ailuk,28.8°C / 83.8°F,12 mph,80%
Airuk,29.2°C / 84.5°F,10 mph,74%
Aur,29.2°C / 84.5°F,13 mph,74%
Ebaye,29.1°C / 84.3°F,13 mph,70%
Ebon,29.3°C / 84.8°F,14 mph,74%
Enewetak,28.8°C / 83.9°F,14 mph,77%
Jabat,29.2°C / 84.5°F,10 mph,74%
Jabor,29.3°C / 84.8°F,11 mph,76%
Kili,29.3°C / 84.8°F,13 mph,74%
Lae,29.1°C / 84.3°F,12 mph,75%
Likiep,28.9°C / 84°F,11 mph,79%
Loen,29.1°C / 84.4°F,10 mph,75%
Majuro,29.2°C / 84.5°F,6 mph,78%
Mejit,28.8°C / 83.9°F,11 mph,80%
Mili,29.3°C / 84.8°F,10 mph,76%
Namdrik,29.3°C / 84.7°F,12 mph,74%
RMI,29.2°C / 84.5°F,11 mph,74%
Rongelap,28.7°C / 83.7°F,12 mph,74%
Taroa,29.1°C / 84.4°F,12 mph,76%
Ujae,29°C / 84.2°F,12 mph,77%
Utrik,28.5°C / 83.3°F,12 mph,75%
Wotho,28.8°C / 83.8°F,9 mph,73%
Wotje,29.1°C / 84.3°F,11 mph,76%
Colonia,29.9°C / 85.9°F,2 mph,89%
Fais,29.8°C / 85.7°F,9 mph,75%
Ifalik,30.1°C / 86.1°F,13 mph,76%
Kapingamarangi,29.6°C / 85.2°F,18 mph,73%
Kolonia,29.6°C / 85.3°F,9 mph,74%
Kolonia,29.6°C / 85.3°F,9 mph,74%
Kolonia,29.6°C / 85.3°F,9 mph,70%
Kuttu,29.8°C / 85.7°F,16 mph,75%
Lelu,29.5°C / 85.1°F,11 mph,74%
Losap,29.6°C / 85.2°F,15 mph,78%
Lukunor,29.9°C / 85.8°F,15 mph,75%
Madolenihm,29.6°C / 85.2°F,17 mph,76%
Makur,29.6°C / 85.2°F,15 mph,72%
Malem,29.5°C / 85.1°F,11 mph,74%
Moch,29.8°C / 85.7°F,16 mph,75%
Murilo,29.4°C / 85°F,15 mph,77%
Namoluk,29.7°C / 85.4°F,16 mph,77%
Nema,29.6°C / 85.2°F,14 mph,78%
Nukuoro,30°C / 86°F,15 mph,77%
Oneop,29.9°C / 85.8°F,15 mph,76%
Onou,29.6°C / 85.2°F,15 mph,74%
Piis,29.6°C / 85.2°F,14 mph,76%
Pingelap,29.4°C / 85°F,19 mph,75%
Polowat,29.7°C / 85.5°F,17 mph,76%
Pulap,29.7°C / 85.4°F,17 mph,76%
Rumung,29.9°C / 85.9°F,6 mph,79%
Ruo,29.4°C / 85°F,15 mph,77%
Satowan,29.9°C / 85.8°F,15 mph,75%
Sorol,29.9°C / 85.8°F,5 mph,76%
Ta,29.9°C / 85.8°F,16 mph,75%
Tafunsak,29.5°C / 85.1°F,11 mph,74%
Tamatam,29.7°C / 85.5°F,17 mph,75%
Tofol,29.5°C / 85.1°F,11 mph,74%
Tonoas,29.6°C / 85.2°F,5 mph,74%
Unanu,29.6°C / 85.2°F,15 mph,74%
Utwe,29.6°C / 85.2°F,11 mph,74%
Weno,29.6°C / 85.2°F,5 mph,74%
Weno,29.6°C / 85.2°F,5 mph,74%
Arijejen,28.7°C / 83.6°F,16 mph,76%
Fayaoué,25.4°C / 77.8°F,15 mph,78%
Hienghène,25.6°C / 78°F,8 mph,66%
Houaïlou,25.3°C / 77.6°F,7 mph,69%
Nouméa,24.2°C / 75.5°F,9 mph,99%
Poindimié,25.5°C / 77.9°F,11 mph,71%
Poum,25.7°C / 78.3°F,16 mph,72%
Tadine,25.1°C / 77.2°F,11 mph,81%
Thio,25.3°C / 77.6°F,8 mph,72%
Touho,25.6°C / 78°F,13 mph,73%
Ahipara,16.4°C / 61.5°F,9 mph,74%
Auckland,16.1°C / 60.9°F,2 mph,81%
Castlepoint,14.4°C / 58°F,19 mph,66%
Christchurch,10.7°C / 51.2°F,6 mph,75%
Coromandel,15.5°C / 59.9°F,7 mph,65%
Dunedin,10.9°C / 51.6°F,11 mph,71%
Gisborne,14.8°C / 58.7°F,12 mph,81%
Hokitika,13.7°C / 56.6°F,25 mph,85%
Kaikoura,11.6°C / 52.9°F,7 mph,68%
Katikati,16.3°C / 61.3°F,2 mph,94%
Lower,13.8°C / 56.9°F,25 mph,83%
Maketu,16.4°C / 61.6°F,1 mph,69%
Manukau,15.9°C / 60.6°F,1 mph,81%
Mapua,13.6°C / 56.5°F,8 mph,80%
Motueka,13.4°C / 56.2°F,8 mph,73%
Murrays,16.1°C / 60.9°F,8 mph,80%
Napier,14.6°C / 58.2°F,6 mph,62%
North,16°C / 60.8°F,8 mph,96%
Opunake,15.6°C / 60.1°F,19 mph,75%
Paihia,17.2°C / 63°F,3 mph,95%
Pakuranga,16.2°C / 61.1°F,2 mph,82%
Parakai,15.8°C / 60.5°F,8 mph,69%
Patea,15°C / 59°F,11 mph,80%
Picton,12.7°C / 54.9°F,21 mph,75%
Porirua,14.3°C / 57.8°F,26 mph,83%
Portobello,10.7°C / 51.3°F,17 mph,70%
Raglan,15.8°C / 60.4°F,6 mph,93%
Riverton,11.7°C / 53°F,16 mph,61%
Rosebank,15.9°C / 60.7°F,4 mph,76%
Taipa,16.7°C / 62.1°F,4 mph,77%
Tairua,16.6°C / 61.8°F,13 mph,70%
Takanini,15.7°C / 60.3°F,1 mph,81%
Tamaki,16.2°C / 61.2°F,2 mph,82%
Tauranga,16.4°C / 61.5°F,1 mph,77%
Thames,15.1°C / 59.1°F,3 mph,71%
Timaru,10.7°C / 51.3°F,18 mph,66%
Waihi,16.4°C / 61.6°F,3 mph,86%
Waitakere,15.8°C / 60.4°F,2 mph,96%
Waitangi,12.2°C / 53.9°F,4 mph,84%
Waitara,16°C / 60.8°F,17 mph,80%
Wanganui,14.9°C / 58.8°F,6 mph,70%
Wellington,13.6°C / 56.4°F,24 mph,87%
Westport,13.8°C / 56.9°F,18 mph,85%
Whakatane,16.3°C / 61.3°F,1 mph,70%
Whangamata,16.4°C / 61.6°F,3 mph,85%
Whangarei,16.6°C / 61.8°F,1 mph,88%
Whitianga,15.8°C / 60.5°F,2 mph,76%
Kingston,20.7°C / 69.2°F,10 mph,72%
JP,29.6°C / 85.2°F,14 mph,70%
Aitape,30.1°C / 86.1°F,3 mph,78%
Daru,27.3°C / 81.2°F,10 mph,83%
Finschhafen,29.6°C / 85.2°F,16 mph,74%
Kandrian,29.6°C / 85.3°F,8 mph,66%
Kavieng,30.4°C / 86.7°F,12 mph,82%
Kerema,28.4°C / 83.1°F,6 mph,77%
Kieta,30.1°C / 86.1°F,6 mph,75%
Kimbe,30.7°C / 87.2°F,3 mph,72%
Kokopo,30.3°C / 86.5°F,6 mph,64%
Lorengau,30.3°C / 86.6°F,11 mph,78%
Madang,29.9°C / 85.8°F,5 mph,84%
Namatanai,30.2°C / 86.4°F,7 mph,67%
Port,28°C / 82.4°F,5 mph,100%
Rabaul,30.3°C / 86.6°F,5 mph,69%
Samarai,28.2°C / 82.7°F,7 mph,79%
Vanimo,29.7°C / 85.5°F,3 mph,86%
Wewak,30.1°C / 86.1°F,4 mph,83%
Adamstown,23.7°C / 74.6°F,16 mph,80%
Afenga,28.8°C / 83.9°F,8 mph,83%
Apia,28.8°C / 83.9°F,24 mph,77%
Falefa,28.8°C / 83.8°F,23 mph,78%
Gataivai,28.8°C / 83.9°F,24 mph,80%
Leulumoega,28.8°C / 83.9°F,19 mph,71%
Lotofagā,28.8°C / 83.9°F,24 mph,78%
Lufilufi,28.8°C / 83.8°F,23 mph,78%
Nofoali‘i,28.8°C / 83.9°F,8 mph,83%
Safotu,28.8°C / 83.9°F,26 mph,81%
Satapuala,28.8°C / 83.9°F,8 mph,83%
Solosolo,28.8°C / 83.8°F,23 mph,78%
Vaitele,28.8°C / 83.9°F,24 mph,77%
Vaiusu,28.8°C / 83.9°F,24 mph,77%
Auki,30°C / 86°F,5 mph,66%
Buala,29.9°C / 85.9°F,12 mph,69%
Gizo,29.9°C / 85.8°F,5 mph,71%
Honiara,29.9°C / 85.8°F,13 mph,62%
Tulaghi,30°C / 86°F,16 mph,74%
Atafu,28.8°C / 83.9°F,15 mph,73%
Fale,28.9°C / 84°F,15 mph,73%
Havelu,25.3°C / 77.6°F,9 mph,88%
Neiafu,27.3°C / 81.2°F,9 mph,69%
Nuku‘alofa,25.3°C / 77.6°F,7 mph,83%
Pangai,26.1°C / 79°F,21 mph,83%
‘Ohonua,25.2°C / 77.4°F,9 mph,88%
Fakaifou,29.3°C / 84.7°F,5 mph,78%
Isangel,26.1°C / 79°F,5 mph,88%
Lakatoro,28°C / 82.4°F,17 mph,78%
Luganville,28.1°C / 82.6°F,12 mph,84%
Norsup,28°C / 82.4°F,20 mph,83%
Sola,28.6°C / 83.4°F,6 mph,89%
Mata-Utu,28.8°C / 83.9°F,20 mph,69%
Stoney,28.2°C / 82.7°F,15 mph,70%
Falmouth,28.1°C / 82.5°F,10 mph,78%
Saint,28.1°C / 82.5°F,17 mph,76%
Arasji,27.3°C / 81.2°F,24 mph,86%
Oranjestad,27.2°C / 81°F,21 mph,70%
Andros,28.8°C / 83.9°F,16 mph,70%
Cooper’s,28.9°C / 84°F,17 mph,78%
Dunmore,28.2°C / 82.8°F,19 mph,77%
Hard,29.1°C / 84.3°F,19 mph,81%
High,29.4°C / 84.9°F,14 mph,75%
Marsh,28.4°C / 83.1°F,14 mph,74%
Nassau,28.9°C / 84°F,17 mph,70%
Port,28.5°C / 83.3°F,17 mph,81%
West,29.3°C / 84.8°F,13 mph,74%
Bathsheba,27.9°C / 82.3°F,25 mph,80%
Bridgetown,27.9°C / 82.3°F,24 mph,84%
Corozal,29.3°C / 84.8°F,8 mph,61%
San,29.2°C / 84.5°F,4 mph,71%
Hamilton,24.5°C / 76.1°F,9 mph,69%
Saint,24.5°C / 76.1°F,7 mph,84%
n/a,n/a,n/a,n/a
East,29.2°C / 84.6°F,13 mph,72%
North,29.2°C / 84.6°F,13 mph,76%
West,29.2°C / 84.5°F,9 mph,75%
Chacarita,28.6°C / 83.4°F,6 mph,85%
Golfito,28°C / 82.4°F,3 mph,91%
Jacó,28.1°C / 82.6°F,4 mph,74%
Nandayure,28.3°C / 82.9°F,3 mph,83%
Puerto,28.2°C / 82.7°F,5 mph,83%
Puntarenas,28.6°C / 83.4°F,6 mph,85%
Quepos,28.1°C / 82.6°F,7 mph,77%
Sámara,27.9°C / 82.3°F,7 mph,66%
Baracoa,28.8°C / 83.8°F,7 mph,80%
Cabañas,28.9°C / 84.1°F,5 mph,80%
Caibarién,29°C / 84.2°F,10 mph,85%
Campechuela,30.1°C / 86.1°F,8 mph,68%
Centro,28.8°C / 83.9°F,7 mph,78%
Diez,28.9°C / 84°F,7 mph,78%
Gibara,28.4°C / 83.2°F,16 mph,73%
Habana,28.8°C / 83.9°F,7 mph,74%
Havana,28.8°C / 83.9°F,2 mph,59%
Manzanillo,30.1°C / 86.1°F,5 mph,66%
Mariel,28.9°C / 84°F,6 mph,55%
Matanzas,29°C / 84.2°F,11 mph,94%
Moa,28.4°C / 83.1°F,17 mph,81%
Niquero,29.7°C / 85.5°F,3 mph,79%
Nuevitas,28.4°C / 83.1°F,11 mph,75%
Santa,29.1°C / 84.4°F,9 mph,74%
Santiago,29.4°C / 85°F,5 mph,89%
Varadero,28.4°C / 83.2°F,6 mph,76%
n/a,n/a,n/a,n/a
Berekua,27.9°C / 82.3°F,15 mph,77%
Castle,28°C / 82.4°F,9 mph,78%
La,27.9°C / 82.3°F,14 mph,78%
Mahaut,27.9°C / 82.2°F,9 mph,78%
Marigot,28°C / 82.4°F,9 mph,78%
Pointe,27.9°C / 82.3°F,14 mph,76%
Portsmouth,27.9°C / 82.3°F,13 mph,74%
Salisbury,28.1°C / 82.5°F,15 mph,76%
Soufrière,27.9°C / 82.3°F,15 mph,77%
Wesley,27.9°C / 82.3°F,9 mph,78%
Boca,28.6°C / 83.5°F,6 mph,78%
Boca,28.5°C / 83.3°F,12 mph,80%
Cabarete,28.6°C / 83.5°F,14 mph,79%
Cabrera,28.5°C / 83.3°F,12 mph,84%
Juancho,28.5°C / 83.3°F,13 mph,88%
La,28.7°C / 83.6°F,13 mph,85%
La,28.4°C / 83.2°F,12 mph,84%
La,28.5°C / 83.3°F,0 mph,83%
Luperón,28.6°C / 83.5°F,24 mph,60%
Miches,28.3°C / 83°F,14 mph,76%
Palmar,28.7°C / 83.6°F,13 mph,79%
Paraíso,28.6°C / 83.5°F,10 mph,92%
Puerto,28.6°C / 83.4°F,17 mph,66%
Río,28.4°C / 83.2°F,10 mph,88%
Sabana,28.3°C / 83°F,9 mph,81%
San,28.6°C / 83.4°F,9 mph,82%
Sánchez,28.5°C / 83.3°F,6 mph,85%
Santa,28.4°C / 83.1°F,10 mph,80%
Santa,28.6°C / 83.4°F,18 mph,66%
Santo,28.9°C / 84.1°F,7 mph,95%
Sosúa,28.6°C / 83.5°F,9 mph,89%
Acajutla,29.1°C / 84.3°F,5 mph,71%
La,28.8°C / 83.8°F,2 mph,84%
La,29.6°C / 85.3°F,5 mph,74%
Grenville,27.8°C / 82.1°F,21 mph,82%
Saint,27.8°C / 82°F,21 mph,74%
Saint,27.8°C / 82°F,21 mph,74%
Victoria,27.8°C / 82.1°F,22 mph,82%
Anse-Bertrand,28.1°C / 82.6°F,17 mph,76%
Baie-Mahault,28.1°C / 82.5°F,5 mph,83%
Baillif,27.9°C / 82.3°F,14 mph,76%
Basse-Terre,27.9°C / 82.2°F,14 mph,76%
Bouillante,28.1°C / 82.5°F,12 mph,77%
Capesterre-Belle-Eau,28°C / 82.4°F,15 mph,77%
Grand-Bourg,28.1°C / 82.6°F,17 mph,78%
Grande,28.1°C / 82.5°F,17 mph,76%
Le,28.1°C / 82.5°F,9 mph,74%
Le,28.1°C / 82.6°F,16 mph,100%
Petit-Bourg,28.1°C / 82.5°F,5 mph,83%
Petit-Canal,28.1°C / 82.6°F,5 mph,100%
Pointe-à-Pitre,28.1°C / 82.5°F,6 mph,78%
Pointe-Noire,28.1°C / 82.6°F,11 mph,78%
Port-Louis,28.1°C / 82.6°F,5 mph,100%
Saint-François,28.1°C / 82.6°F,15 mph,100%
Sainte-Anne,28.1°C / 82.6°F,5 mph,100%
Sainte-Rose,28.1°C / 82.6°F,5 mph,83%
Terre-de-Bas,28.1°C / 82.6°F,17 mph,77%
Trois-Rivières,27.9°C / 82.2°F,15 mph,77%
Vieux-Habitants,28°C / 82.4°F,12 mph,77%
Champerico,29.2°C / 84.6°F,2 mph,79%
Lívingston,29.7°C / 85.4°F,6 mph,94%
Puerto,29.6°C / 85.3°F,9 mph,70%
Anse,29.2°C / 84.6°F,6 mph,76%
Anse,29.6°C / 85.3°F,5 mph,62%
Anse-à-Veau,29.2°C / 84.6°F,6 mph,76%
Aquin,28.7°C / 83.6°F,5 mph,62%
Baie,29.5°C / 85.1°F,6 mph,79%
Belle-Anse,28.1°C / 82.6°F,6 mph,80%
Cap-Haïtien,28.9°C / 84.1°F,15 mph,79%
Caracol,29.1°C / 84.3°F,15 mph,71%
Carrefour,29.1°C / 84.4°F,2 mph,38%
Chardonnière,28.5°C / 83.3°F,4 mph,80%
Côtes-de-Fer,28.6°C / 83.4°F,8 mph,81%
Dame-Marie,29°C / 84.2°F,4 mph,79%
Delmas,28.9°C / 84°F,2 mph,38%
Dérac,29.3°C / 84.7°F,16 mph,67%
Fort,29.3°C / 84.7°F,16 mph,67%
Grand,28.9°C / 84°F,2 mph,80%
Gressier,29.3°C / 84.7°F,3 mph,75%
Jacmel,28.6°C / 83.4°F,13 mph,69%
Jérémie,29.2°C / 84.5°F,5 mph,77%
Le,29°C / 84.2°F,13 mph,87%
Léogâne,29.3°C / 84.8°F,2 mph,79%
Les,28.5°C / 83.3°F,9 mph,70%
Les,28.6°C / 83.4°F,9 mph,68%
Les,28.9°C / 84°F,6 mph,77%
Marigot,28.1°C / 82.6°F,7 mph,83%
Miragoâne,29.2°C / 84.5°F,2 mph,76%
Môle,29.3°C / 84.8°F,15 mph,79%
Petit,28.8°C / 83.8°F,1 mph,79%
Petite,29.3°C / 84.7°F,6 mph,76%
Phaéton,29.3°C / 84.7°F,20 mph,65%
Port-à-Piment,28.4°C / 83.2°F,4 mph,80%
Port-au-Prince,29°C / 84.2°F,5 mph,70%
Roche-à-Bateau,28.6°C / 83.5°F,7 mph,81%
Saint-Louis,29.1°C / 84.3°F,15 mph,86%
Saint-Marc,29.5°C / 85.1°F,2 mph,76%
Ti,29.2°C / 84.6°F,15 mph,84%
Tiburon,28.7°C / 83.7°F,6 mph,78%
Amapala,29.6°C / 85.3°F,5 mph,73%
Baja,29.3°C / 84.8°F,12 mph,80%
Corozal,28.7°C / 83.7°F,3 mph,94%
El,29.3°C / 84.8°F,6 mph,87%
Guanaja,28.5°C / 83.3°F,21 mph,82%
Puerto,28.6°C / 83.5°F,7 mph,70%
Puerto,29.3°C / 84.8°F,10 mph,75%
Puerto,28.8°C / 83.8°F,10 mph,66%
Roatán,28.7°C / 83.7°F,7 mph,83%
Savannah,28.6°C / 83.4°F,21 mph,82%
Tela,29.2°C / 84.6°F,5 mph,79%
Travesía,29.3°C / 84.8°F,12 mph,80%
Alligator,28.8°C / 83.8°F,11 mph,76%
Black,29°C / 84.2°F,6 mph,66%
Bluefields,29°C / 84.2°F,2 mph,85%
Buff,28.8°C / 83.9°F,10 mph,71%
Discovery,29.1°C / 84.3°F,16 mph,70%
Falmouth,29.1°C / 84.4°F,15 mph,83%
Hope,28.8°C / 83.9°F,7 mph,80%
Kingston,28.6°C / 83.5°F,33 mph,55%
Lucea,29.4°C / 84.9°F,17 mph,77%
Manchioneal,28.6°C / 83.5°F,7 mph,82%
Montego,29.3°C / 84.8°F,12 mph,84%
Morant,28.6°C / 83.5°F,12 mph,77%
Negril,29.3°C / 84.7°F,3 mph,79%
New,28.6°C / 83.5°F,26 mph,69%
Ocho,29.4°C / 84.9°F,14 mph,66%
Old,28.7°C / 83.7°F,14 mph,61%
Oracabessa,29.3°C / 84.7°F,12 mph,80%
Port,28.8°C / 83.8°F,9 mph,81%
Port,29.1°C / 84.3°F,15 mph,78%
Port,28.6°C / 83.4°F,33 mph,54%
Portmore,28.6°C / 83.5°F,33 mph,55%
Rocky,28.8°C / 83.8°F,14 mph,71%
Saint,29.3°C / 84.7°F,11 mph,82%
Sandy,29.4°C / 84.9°F,8 mph,83%
Savanna-la-Mar,29.2°C / 84.5°F,3 mph,84%
Yallahs,28.7°C / 83.6°F,12 mph,70%
La,28.1°C / 82.5°F,10 mph,35%
Le,28°C / 82.4°F,10 mph,78%
Le,28.1°C / 82.5°F,13 mph,35%
Le,28°C / 82.4°F,17 mph,70%
Le,28°C / 82.4°F,10 mph,35%
Le,28°C / 82.4°F,15 mph,75%
Les,28°C / 82.4°F,13 mph,78%
